"","gene_node_idx","gene_node_name","Weight1","node1","Weight2","node2","t2ds_no_t2ds_pvalue","pret2ds_no_t2ds_pvalue"
"102",1055,"RALA",0.0787821786657655,"node_type1",0.0787636344059602,"node_type2",0.0300460722292225,0.145739491522674
"103",1056,"RALB",0.0808733711201246,"node_type1",0.0808849416998575,"node_type2",0.0119954525750214,0.0054679223274687
"104",1057,"RALBP1",0.0457219693457847,"node_type1",0.0456929928427737,"node_type2",0.25111970596832,0.232705869560549
"105",1062,"RAPGEF1",0.117146389303624,"node_type1",0.117858410701887,"node_type2",0.0429937249014971,0.153016493765371
"106",1093,"RELB",0.0413414197423236,"node_type1",0.0414812867570312,"node_type2",0.229799885583904,0.064358716687601
"107",1095,"RGL1",0.0971039554430928,"node_type1",0.0970191820113028,"node_type2",0.0587307706002878,0.016225796805965
"108",1096,"RGL2",0.0806993653390676,"node_type1",0.0807273497028762,"node_type2",0.0801019593835079,0.0281625938952127
"109",1102,"RHOQ",0.0981106453264751,"node_type1",0.0980779071850152,"node_type2",0.0072580697818397,0.0936821351702576
"110",1108,"RNASEL",1,"node_type1",1,"node_type2",0.0077096250754724,0.0386829839041177
"111",1109,"RNF125",0.418087959797059,"node_type1",0.418423838894231,"node_type2",0.0257965071251276,0.360891228357625
"112",1146,"SAV1",0.196374140749415,"node_type1",0.196445712708045,"node_type2",0.200341177050235,0.232321488422663
"113",1173,"SIAH1",0.0913451154972523,"node_type1",0.0913132595877256,"node_type2",0.0514386523021708,0.0138167644896773
"114",1176,"SIKE1",0.166105081708627,"node_type1",0.166212656389231,"node_type2",0.0026654296416886,0.1972413193898
"115",1178,"SIPA1",0.261373406658002,"node_type1",0.261353788236442,"node_type2",0.0546500039786698,0.0187242230993355
"116",1182,"SKAP1",0.0565834326026271,"node_type1",0.0566091690047904,"node_type2",0.146897771847202,0.305280585138155
"117",1183,"SKP1",0.074264537937183,"node_type1",0.0728241008064816,"node_type2",0.0093371371485759,0.0632683645845717
"118",1237,"STING1",0.205791683492586,"node_type1",0.205743701672515,"node_type2",0.0352342605704837,0.242065749461063
"119",1239,"STK3",0.102833937647494,"node_type1",0.102898198030605,"node_type2",0.0160686148545644,0.0968991607473133
"120",1246,"SUGT1",0.103175392681823,"node_type1",0.10307681212412,"node_type2",0.315029565704217,0.242560031950122
"121",1247,"SYK",0.0282503205841644,"node_type1",0.028607070207518,"node_type2",0.039888097708346,0.0316082009737707
"122",1254,"TANK",0.0938545346940836,"node_type1",0.0938456059589414,"node_type2",0.0805865098395778,0.0074688784699013
"123",1261,"TBK1",0.071737043218797,"node_type1",0.0717253910945277,"node_type2",0.0639946166154508,0.2631410540802
"124",1262,"TBKBP1",0.122420812510809,"node_type1",0.122308539849295,"node_type2",0.241229572742859,0.296445200161525
"125",1263,"TBL1X",0.100987025696567,"node_type1",0.101117739385572,"node_type2",0.057493188764117,0.110659682460533
"126",1264,"TBL1XR1",0.100623318587427,"node_type1",0.100627142773337,"node_type2",0.0052910867669285,0.005669597764225
"127",1291,"TICAM1",0.0982650620782049,"node_type1",0.0982213509508493,"node_type2",0.0942282672588444,0.0352582049100726
"128",1295,"TKFC",0.234647101872745,"node_type1",0.234582865685551,"node_type2",0.227393064467873,0.0067421137188464
"129",1304,"TLR3",0.352688744578431,"node_type1",0.35256636749359,"node_type2",0.002703857864576,0.0691002990459583
"130",1305,"TLR4",0.185008935086092,"node_type1",0.185232699224759,"node_type2",0.0458934042321268,0.0739680654720682
"131",1316,"TNFRSF13C",0.515143433105458,"node_type1",0.515164267220008,"node_type2",0.0015952646835055,0.146216215991348
"132",1320,"TNFSF13B",0.569915430149698,"node_type1",0.569914597064724,"node_type2",0.0124145837715468,0.286447978682142
"133",1325,"TP53BP1",0.477119515715686,"node_type1",0.4814877275,"node_type2",0.431775426969104,0.241670542219683
"134",1333,"TRAF3IP2",0.0294355931396308,"node_type1",0.0294108777001358,"node_type2",0.0694026448478958,0.076382266760183
"135",1334,"TRAF4",0.151993707363725,"node_type1",0.151898121691666,"node_type2",0.0611436656910622,0.10676211671735
"136",1337,"TRIP10",0.187462623457843,"node_type1",0.187412401539744,"node_type2",0.128508980872948,0.0702354592115859
"137",1343,"TXN",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.207096804142088,0.235021386598709
"138",1344,"TXN2",0.333333333333333,"node_type1",0.333333333333333,"node_type2",0.315179539959143,0.339985317891811
"139",1345,"TXNIP",0.229389419238513,"node_type1",0.229399727791858,"node_type2",0.0564378043871153,0.121485133837362
"140",1379,"YWHAE",0.0546073218284849,"node_type1",0.054585799479346,"node_type2",0.0805326136486141,0.317132172534625
"141",1382,"YWHAQ",0.0916538470969568,"node_type1",0.0916813299649531,"node_type2",0.225242208117765,0.154007281146292
"142",1384,"ZAP70",0.0531305514660095,"node_type1",0.053109161419107,"node_type2",0.302014398676344,0.0781516265374872
