"Category","Term","Count","List Total","Pop Hits","Pop Total","P-Value","Benjamini","Fold Enrichment","Bonferroni","FDR","Fisher Exact","User Ids"
"UP_SEQ_FEATURE","MOTIF:Effector region","3","141","48","20669","4.20e-2","8.23e-1","9.16","1.00e+0","8.12e-1","4.29e-3","RALA,RALB,RHOQ"
"UP_SEQ_FEATURE","REPEAT:LRR 14","3","141","48","20669","4.20e-2","8.23e-1","9.16","1.00e+0","8.12e-1","4.29e-3","ERBIN,TLR4,TLR3"
"GOTERM_BP_DIRECT","regulation of intracellular signal transduction","3","142","45","19512","4.19e-2","2.24e-1","9.16","1.00e+0","1.98e-1","4.28e-3","MAPKAPK5,BID,BCL2L1"
"GOTERM_MF_DIRECT","protein tyrosine kinase binding","3","142","44","19272","4.12e-2","2.26e-1","9.25","1.00e+0","1.97e-1","4.16e-3","CD4,CDH1,CD247"
"UP_SEQ_FEATURE","REPEAT:LRR 15","3","141","47","20669","4.04e-2","8.23e-1","9.36","1.00e+0","8.12e-1","4.05e-3","ERBIN,TLR4,TLR3"
"GOTERM_BP_DIRECT","cellular response to ionizing radiation","3","142","43","19512","3.86e-2","2.15e-1","9.59","1.00e+0","1.90e-1","3.76e-3","IFI16,BRCC3,TANK"
"GOTERM_BP_DIRECT","mRNA stabilization","3","142","43","19512","3.86e-2","2.15e-1","9.59","1.00e+0","1.90e-1","3.76e-3","TRAF3IP2,MAPKAPK2,IKBKE"
"SMART","RasGEF","3","107","31","10704","3.75e-2","2.54e-1","9.68","9.65e-1","2.31e-1","3.56e-3","RAPGEF1,RGL1,RGL2"
"INTERPRO","UBA","3","142","45","20827","3.73e-2","2.28e-1","9.78","1.00e+0","2.14e-1","3.57e-3","LATS1,LATS2,CBLB"
"GOTERM_BP_DIRECT","spleen development","3","142","42","19512","3.70e-2","2.08e-1","9.81","1.00e+0","1.83e-1","3.52e-3","TRAF3IP2,BCL3,FADD"
"GOTERM_MF_DIRECT","SH2 domain binding","3","142","41","19272","3.62e-2","2.03e-1","9.93","1.00e+0","1.77e-1","3.40e-3","SYK,LCK,SKAP1"
"SMART","RA","3","107","30","10704","3.53e-2","2.54e-1","10.00","9.58e-1","2.31e-1","3.24e-3","AFDN,RGL1,RGL2"
"GOTERM_MF_DIRECT","ADP binding","3","142","40","19272","3.46e-2","1.97e-1","10.18","1.00e+0","1.72e-1","3.17e-3","APAF1,NLRP3,NOD2"
